CODIGO INEI;CODIGO CPNP;NOMBREDD;NOMBREPP;NOMBREDI;GPS;MACREGPOL/FP;REGPOL;DIVPOL/DIVOPUS;COMISARÍA;TIPO*;RURAL*;SECTORIAL*;ZONAL*;;;
1189;5508;APURIMAC;CHINCHEROS;ONGOY;-13.40310796,-73.66800253;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP ONGOY;D;X;;;;;
0790;4000;AREQUIPA;AREQUIPA;YANAHUARA;-16.39132985,-71.54341095;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP YANAHUARA;A;;;;;;
0752;4002;AREQUIPA;AREQUIPA;CERRO COLORADO;-16.37825497,-71.55950633;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CERRO COLORADO;A;;;;;;
0833;4004;AREQUIPA;CAYLLOMA;MAJES;-16.34866792,-72.18785917;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP PEDREGAL;A;X;X;;;;
0751;4006;AREQUIPA;AREQUIPA;CERRO COLORADO;-16.39274655,-71.56777059;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP MARISCAL CASTILLA;B;;;;;;
0746;4008;AREQUIPA;AREQUIPA;CAYMA;-16.38153205,-71.54528245;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CAYMA;B;;;;;;
0747;4010;AREQUIPA;AREQUIPA;CAYMA;-16.35616676,-71.54126113;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP ACEQUIA ALTA;C;;;;;;
0749;4012;AREQUIPA;AREQUIPA;CAYMA;-16.33172933,-71.54368564;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP DEAN VALDIVIA;C;;;;;;
0748;4014;AREQUIPA;AREQUIPA;CAYMA;-16.34927252,-71.55248055;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CASIMIRO CUADROS;D;;;;;;
0786;4016;AREQUIPA;AREQUIPA;UCHUMAYO;-16.42589549,-71.67322575;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP UCHUMAYO;D;X;;;;;
0787;4018;AREQUIPA;AREQUIPA;UCHUMAYO;-16.44615808,-71.61920635;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CONGATA;C;X;;;;;
0824;4020;AREQUIPA;CAYLLOMA;CHIVAY;-15.63693945,-71.60172461;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CHIVAY CAYLLOMA;B;;X;;;;
0753;4022;AREQUIPA;AREQUIPA;CERRO COLORADO;-16.35177358,-71.5634369;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP ZAMACOLA;B;;;;;;
0829;4026;AREQUIPA;CAYLLOMA;HUANCA;-16.0342544,-71.87817105;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP HUANCA;E;X;;;;;
0785;4028;AREQUIPA;AREQUIPA;TIABAYA;-16.44970419,-71.5886745;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP TIABAYA;C;;;;;;
0789;4030;AREQUIPA;AREQUIPA;SACHACA;-16.4114,-71.571753;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP PAMPA DE CAMARONES;C;;;;;;
0779;4032;AREQUIPA;AREQUIPA;SACHACA;-16.42320827,-71.56509004;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP SACHACA;C;;;;;;
0760;4034;AREQUIPA;AREQUIPA;LA JOYA;-16.42455391,-71.81816914;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP LA JOYA;B;X;;;;;
0763;4036;AREQUIPA;AREQUIPA;VITOR;-16.58644,-71.92794;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP SAN ISIDRO;D;X;;;;;
0762;4038;AREQUIPA;AREQUIPA;LA JOYA;-16.580904,-71.84012642;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP SAN JOSE;D;X;;;;;
0764;4040;AREQUIPA;AREQUIPA;LA JOYA;-16.68555877,-71.88608575;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP SAN CAMILO;D;X;;;;;
0761;4042;AREQUIPA;AREQUIPA;LA JOYA;-16.49632024,-71.83761657;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP EL TRIUNFO;C;X;;;;;
0788;4044;AREQUIPA;AREQUIPA;VITOR;-16.46897,-71.924783;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP VICTOR SOTILLO;D;X;;;;;
0827;4046;AREQUIPA;CAYLLOMA;CAYLLOMA;-15.18823522,-71.7733351;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CAYLLOMA;C;X;;;;;
0825;4048;AREQUIPA;CAYLLOMA;CABANACONDE;-15.62264488,-71.98046065;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP CABANACONDE;D;X;;;;;
0828;4050;AREQUIPA;CAYLLOMA;HUAMBO;-15.73063305,-72.10776511;AREQUIPA;AREQUIPA;DIVOPUS AREQUIPA;CPNP HUAMBO;E;X;;;;;
