mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
300.0,60.0,2.0,2.0,1.0,0.0,9,0,6,1,2750.0
350.0,240.0,3.0,3.0,0.0,30.0,0,0,7,1,5750.0
1000.0,200.0,3.0,2.0,2.0,6.0,9,0,7,1,6800.0
180.0,75.0,3.0,2.0,0.0,10.0,9,0,8,2,1600.0
200.0,70.0,2.0,2.0,0.0,8.0,6,0,7,3,2000.0
175.0,95.0,3.0,3.0,0.0,0.0,20,0,6,2,2800.0
220.0,42.0,1.0,1.0,0.0,5.0,10,0,8,2,2200.0
,70.0,1.0,1.0,0.0,1.0,7,0,7,1,1500.0
,43.0,1.0,1.0,0.0,1.0,8,0,7,1,2691.0
500.0,78.0,3.0,2.0,0.0,8.0,19,0,6,3,2200.0
525.0,100.0,2.0,2.0,1.0,26.0,1,0,7,1,6120.0
850.0,210.0,3.0,2.0,2.0,9.0,3,0,7,1,7370.0
